Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-01-12,BTCUSD,8016.22,8190,7960,8180.76,2056.09,16671798.24
2020-01-13,BTCUSD,8180.76,8196.81,8039,8105.01,4011.44,32494162.71
2020-01-14,BTCUSD,8105.01,8895,8105.01,8813.04,17009.43,146225207.42
2020-01-15,BTCUSD,8813.04,8903.2,8555,8809.17,8606.88,75401269.55
2020-01-16,BTCUSD,8809.17,8852.35,8573.91,8710.15,6713.26,58128480.46
2020-01-17,BTCUSD,8710.15,9015.22,8661.52,8892.63,9363.16,83202108.28
2020-01-18,BTCUSD,8892.63,9000.1,8798.9,8908.53,3678.01,32722278.87
2020-01-19,BTCUSD,8908.53,9188.1,8461.38,8696.6,8785.45,77156049.64
2020-01-20,BTCUSD,8696.6,8740.54,8507.93,8625.17,4420.2,38176413.57
2020-01-21,BTCUSD,8625.17,8778.66,8480,8717.89,3394.69,29315872.02
2020-01-22,BTCUSD,8717.89,8792.98,8567.68,8655.93,3143.81,27226881.83
2020-01-23,BTCUSD,8655.93,8665.95,8280,8378.44,8611.01,72408778.79
2020-01-24,BTCUSD,8378.44,8530.7,8212.9,8422.13,6430.43,53848152.42
2020-01-25,BTCUSD,8422.13,8437.47,8252.72,8329.5,2812.79,23426249.24
2020-01-26,BTCUSD,8329.5,8600,8276.22,8590.48,6340.59,53453535.6
2020-01-27,BTCUSD,8590.48,9004.35,8546.55,8894.54,9619.77,84430635.62
2020-01-28,BTCUSD,8894.54,9413.24,8876,9400,9565.56,86973753.2
2020-01-29,BTCUSD,9400,9443.96,9215.5,9289.18,6481.92,60511710.82
2020-01-30,BTCUSD,9289.18,9570,9166.07,9500,7945.16,74656133.86
2020-01-31,BTCUSD,9500,9529.35,9195.93,9327.85,5009.62,46781868.72
2020-02-01,BTCUSD,9327.85,9464.16,9280.33,9377.17,1669.0,15647313.66
2020-02-02,BTCUSD,9377.17,9474.28,9135,9329.39,3015.79,28176260.6
2020-02-03,BTCUSD,9329.39,9615,9211.07,9288.09,4758.13,44541630.34
2020-02-04,BTCUSD,9288.09,9348.6,9075,9159.37,4867.23,44773399.1
2020-02-05,BTCUSD,9159.37,9775,9142.52,9618.42,8063.97,76512667.13
2020-02-06,BTCUSD,9618.42,9859.57,9521,9754.63,7554.49,73394159.76
2020-02-07,BTCUSD,9754.63,9878,9706.94,9803.42,4013.49,39274637.38
